segment,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,priority_rank
High Priority,92.96170212765956,29.15127659574468,6.3885106382978725,42.32340425531915,3942.404255319149,12.019680851063828,59.18723404255319,5.008085106382978,1922.3829787234042,1.0
Developing,21.927380952380954,40.243916666666664,6.200952380952381,47.47340357142857,12305.595238095239,7.600904761904762,72.81428571428572,2.3075,6486.452380952381,2.0
Stable / Developed,5.0,58.73888888888889,8.807777777777778,51.49166666666667,45672.22222222222,2.67125,80.12777777777778,1.7527777777777778,42494.444444444445,3.0
